Partido,Dimensión,Categoría Tecnológica,Cita Textual de la Propuesta,Madurez
Alianza para el Progreso,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Interoperabilidad digital (identidad y firma digital, ventanillas únicas, intercambio automático de datos). [Pág. 12]",Instrumental
Alianza para el Progreso,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Ventanilla única digital minera, reforma normativa integral, sistema de regulación ambiental bajo enfoque de ""Huella Ambiental"". [Pág. 14]",Programática
Alianza para el Progreso,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Inteligencia y trazabilidad de insumos: Implementar un sistema nacional de trazabilidad de explosivos, combustibles y mercurio, permitiendo identificar las zonas de operación ilegal. [Pág. 15]",Programática
Alianza para el Progreso,Economía y Sectores Productivos,Tecnologías de Confianza Distribuida (DLT),"Propiedad y blockchain como base de confianza: Otorgar títulos de propiedad claros y líquidos a los mineros formalizados, garantizados mediante seguros de títulos y blockchain. [Pág. 15]",Instrumental
Alianza para el Progreso,Economía y Sectores Productivos,"Hardware Avanzado, Robótica y Sensores (IoT)","Vía OXI se dotará al IMARPE de un nuevo buque de investigación con tecnología de punta, para poder estudiar nuevas especias con potencial productivo en el país. [Pág. 15]",Programática
Alianza para el Progreso,"Sostenibilidad, Energía y Ambiente",Sistemas de Información y Software de Gestión,"El fortalecimiento del sector energético debe comenzar por el MINEM, que debe concentrar y agilizar la tramitología bajo un sistema de ventanilla única digital, donde todas las autorizaciones y opiniones técnicas tengan plazos vinculantes y reglas claras de trazabilidad. [Pág. 16]",Normativa/Estructurada
Alianza para el Progreso,"Desarrollo Territorial, Vivienda y Agua","Seguridad, Ciberdefensa y Tecnologías de Control",Combate frontal contra el tráfico de tierras (creación de policía especializada). [Pág. 19],Normativa/Estructurada
Alianza para el Progreso,Salud y Seguridad Alimentaria,Sistemas de Información y Software de Gestión,"Modernizar la gobernanza del sistema e Integrar la transformación digital, trabajar la interoperabilidad y colocar al ciudadano en el centro. [Pág. 21]",Declarativa
Alianza para el Progreso,Salud y Seguridad Alimentaria,Sistemas de Información y Software de Gestión,"Para ello, es importante la articulación entre los sub sistemas existentes (la Historia Clínica Digital debe aplicarse a nivel de todo sub sistema y ser interoperable. Ya EsSalud avanzó en este terreno). [Pág. 22]",Normativa/Estructurada
Alianza para el Progreso,Salud y Seguridad Alimentaria,Inteligencia Artificial,"La adquisición de equipamiento se realizará convocando proveedores que cuenten con tecnología de punta que integren la Inteligencia Artificial, para poder mejorar la calidad del diagnóstico y fortalecer la prevención (clave para entidades como el INEN). [Pág. 22]",Instrumental
Alianza para el Progreso,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,Ventanilla Única Interoperable [Pág. 23],Instrumental
Alianza para el Progreso,"Educación, Ciencia y Tecnología (CTI)",Inteligencia Artificial,Certificación de dominio del inglés y de la Inteligencia Artificial (IA). [Pág. 23],Programática
Alianza para el Progreso,"Educación, Ciencia y Tecnología (CTI)",Big Data y Analítica de Datos,Observatorios Sectoriales de Demanda Laboral y Prospectiva Tecnológica. [Pág. 23],Instrumental
Alianza para el Progreso,"Educación, Ciencia y Tecnología (CTI)",Big Data y Analítica de Datos,"Impulso a la Investigación, Innovación y Ciencia: Ecosistemas Regionales de Innovación. [Pág. 23]",Declarativa
Alianza para el Progreso,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,Fondo nacional de última milla y acceso universal. [Pág. 24],Programática
Alianza para el Progreso,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,APP para la Red Dorsal Nacional de Fibra Óptica. [Pág. 24],Programática
Alianza para el Progreso,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,"Plan Nacional de Última Milla. Implementar fibra óptica hasta escuelas, postas médicas y comisarías rurales (FTTH/FTTx), complementada con tecnologías innovadoras como microtrenching en zonas andinas y fibra subfluvial en la Amazonía. [Pág. 24]",Programática
Alianza para el Progreso,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,Expansión de infraestructura móvil 4G/5G. [Pág. 24],Programática
Alianza para el Progreso,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,"Tecnologías híbridas para superar barreras geográficas. Incentivar el uso de soluciones mixtas como fibra subfluvial en la Amazonía, satélites LEO (Starlink, OneWeb) para zonas remotas, y microtrenching en los Andes, garantizando conectividad resiliente y de bajo costo en territorios de difícil acceso. [Pág. 24]",Instrumental
Alianza para el Progreso,Conectividad e Infraestructura Digital,Sistemas de Información y Software de Gestión,Ventanilla única digital para despliegue de infraestructura. [Pág. 24],Instrumental
Alianza para el Progreso,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,"Escalamiento de CAD y EPAD. Ampliar la red de Centros de Acceso Digital y Espacios Públicos de Acceso Digital hasta alcanzar al menos 5,000 puntos WiFi rurales al 2031, priorizando comunidades amazónicas y altoandinas. [Pág. 24]",Programática
Alianza para el Progreso,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,Alfabetización digital multilingüe. [Pág. 24],Declarativa
Alianza para el Progreso,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,Plan nacional de asequibilidad digital. [Pág. 24],Programática
Alianza para el Progreso,"Educación, Ciencia y Tecnología (CTI)",Conectividad e Infraestructura Digital,Escuelas digitales inteligentes. [Pág. 24],Declarativa
Alianza para el Progreso,Salud y Seguridad Alimentaria,Inteligencia Artificial,Plataforma nacional de telemedicina con IA. [Pág. 24],Programática
Alianza para el Progreso,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,Digitalización total de trámites públicos. [Pág. 24],Declarativa
Alianza para el Progreso,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,Identidad digital universal. [Pág. 24],Programática
Alianza para el Progreso,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,Estado 100% transaccional en línea al 2030. [Pág. 24],Programática
Alianza para el Progreso,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control",Centro Nacional de Ciberseguridad y Respuesta a Incidentes (CERT-Perú). [Pág. 24],Normativa/Estructurada
Alianza para el Progreso,"Seguridad Ciudadana, Defensa y Orden Interno",Conectividad e Infraestructura Digital,Red Nacional de Comunicaciones Críticas. [Pág. 24],Programática
Alianza para el Progreso,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control",Brigada Nacional de Ciberpolicía. [Pág. 24],Normativa/Estructurada
Alianza para el Progreso,"Seguridad Ciudadana, Defensa y Orden Interno",Tecnologías de Confianza Distribuida (DLT),Blockchain para Seguridad y Transparencia. [Pág. 24],Instrumental
Alianza para el Progreso,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control",Protección de Infraestructura Crítica Nacional (ACN). [Pág. 24],Declarativa
Alianza para el Progreso,Gobernanza y Transformación Digital del Estado,Gobernanza y Transformación Digital del Estado,"Zar de Tecnología e Infraestructura Digital: El país requiere una transformación integral que combine eficiencia del Estado, seguridad ciudadana y desarrollo tecnológico (...) creación de una figura central: el Zar de Tecnología e Infraestructura Digital, responsable de liderar los procesos de digitalización, innovación y ciberseguridad. [Pág. 24-25]",Normativa/Estructurada
Alianza para el Progreso,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Servicios Estatales 100% Digitales: salud, educación, justicia y trámites accesibles en línea. [Pág. 25]",Programática
Alianza para el Progreso,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,"Data Centers Soberanos: nube híbrida nacional para la información crítica, con respaldo regional. [Pág. 25]",Programática
Alianza para el Progreso,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,Cobertura Universal: despliegue de 5G y satélites para conectar zonas rurales y de frontera. [Pág. 25],Programática
Alianza para el Progreso,"Sostenibilidad, Energía y Ambiente",Energías Limpias y Tecnologías Ambientales (GreenTech),"Transporte y Energía Inteligentes: integración de sensores en carreteras, movilidad eléctrica y smart grids. [Pág. 25]",Instrumental
Alianza para el Progreso,"Seguridad Ciudadana, Defensa y Orden Interno",Big Data y Analítica de Datos,"Centro de Fusión de Inteligencia: integración de Policía, Fuerzas Armadas y sector privado. [Pág. 25]",Normativa/Estructurada
Alianza para el Progreso,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control",Identidad Digital Unificada: cédula biométrica segura con autenticación móvil y facial. [Pág. 25],Programática
Alianza para el Progreso,"Seguridad Ciudadana, Defensa y Orden Interno",Inteligencia Artificial,"IA + Big Data para Seguridad: detección temprana de patrones criminales (extorsión, crimen organizado). [Pág. 25]",Instrumental
Alianza para el Progreso,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control","Protección de Infraestructura Crítica: defensa de energía, telecomunicaciones, agua y banca. [Pág. 25]",Declarativa
Alianza para el Progreso,"Ética Digital, Privacidad y Derechos Ciudadanos",Inteligencia Artificial,Marco Regulatorio Moderno: leyes que habiliten el uso responsable de IA y ciber inteligencia con respeto a la privacidad. [Pág. 25],Normativa/Estructurada
Alianza para el Progreso,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,Compras Centralizadas: ningún ministerio adquiere tecnología sin aprobación del Zar. [Pág. 25],Normativa/Estructurada
Alianza para el Progreso,"Educación, Ciencia y Tecnología (CTI)","Educación, Ciencia y Tecnología (CTI)",Clusters de Innovación Nacional: parques tecnológicos en alianza con universidades y sector privado. [Pág. 25],Programática
Alianza para el Progreso,"Educación, Ciencia y Tecnología (CTI)",Big Data y Analítica de Datos,"Capacitación Masiva: reconversión digital de la fuerza laboral en IA, ciberseguridad y data science. [Pág. 25]",Programática
Alianza para el Progreso,Economía y Sectores Productivos,Economía y Sectores Productivos,"Startups + Estado: incubadoras nacionales financiadas con contratos públicos, para escalar soluciones locales. [Pág. 25]",Programática
Alianza para el Progreso,Relaciones Internacionales y Migración,"Seguridad, Ciberdefensa y Tecnologías de Control","Exportación Tecnológica: posicionar al país como referente regional en ciberseguridad, fintech y edtech. [Pág. 25]",Declarativa
Alianza para el Progreso,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,"Educación Digital desde Primaria: programación, pensamiento crítico y ciberseguridad básica en la malla escolar. [Pág. 25]",Programática
Alianza para el Progreso,Gobernanza y Transformación Digital del Estado,Big Data y Analítica de Datos,Gobierno Abierto: transparencia en tiempo real de datos públicos para combatir la corrupción. [Pág. 25],Declarativa
Alianza para el Progreso,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,Inclusión Social: uso de telemedicina y plataformas digitales para poblaciones vulnerables. [Pág. 25],Instrumental
Alianza para el Progreso,"Desarrollo Social, Trabajo y Cultura",Big Data y Analítica de Datos,Observatorio del Deporte Peruano (ODP). [Pág. 26],Instrumental
Alianza para el Progreso,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,Hogares registrados en el nuevo Sistema VIDAS que cuentan con un Plan de Desarrollo con metas de autonomía económica. [Pág. 59],Instrumental
Avanza País Partido de Integración Social,Salud y Seguridad Alimentaria,Sistemas de Información y Software de Gestión,"d) Implementar de manera obligatoria la Historia Clínica Universal y Digital, con interoperabilidad para los prestadores públicos y privados de salud. Pág. 22",Programática
Avanza País Partido de Integración Social,"Educación, Ciencia y Tecnología (CTI)",Conectividad e Infraestructura Digital,"Además, se realizará una eficiente implementación de la educación técnica superior, de acuerdo a las vocaciones productivas de cada región, reduciendo así la enorme brecha entre la educación y el mercado laboral. Una de las herramientas para ello será el cambio del enfoque del currículo nacional, más orientada a la realidad del país y a las particularidades de cada región. Pág. 6-7",Instrumental
Avanza País Partido de Integración Social,"Seguridad Ciudadana, Defensa y Orden Interno","Hardware Avanzado, Robótica y Sensores (IoT)","El Índice de criminalidad bajará por la tecnificación de la Policía Nacional, la implementación de equipamiento de inteligencia de nueva generación, la articulación e interoperabilidad con los operadores de justicia; el equipamiento policial de acuerdo a lo señalado en el Plan “Mariano Santos”, así como una reorganización de la Policía Nacional para erradicar a los malos elementos de sus filas y que la confianza ciudadana vuelva hacia la institución policial. Pág. 7",Programática
Avanza País Partido de Integración Social,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"En simultáneo se formalizará, con apoyo del Estado y los gremios empresariales, a más del 30% de las MYPEs que, organizadas horizontal y verticalmente, conformarán “distritos industriales” en clusters asociativos en Trujillo (calzado), Sierra Sur (lácteos y granos nativos), Costa y Selva central (frutales), Chincha, Ica y Lima (textiles), Puno y Cusco (textiles y prendas de lana), entre otros, que se articularán con capitales privados en 5 nuevas Zonas Francas Especiales de Exportación. Pág. 10",Programática
Avanza País Partido de Integración Social,Economía y Sectores Productivos,Tecnologías de Confianza Distribuida (DLT),"Este nuevo modelo, que tendrá su origen en el nuevo Código Minero, establecerá permisos graduales de explotación, permitirá que miles de operaciones mineras informales y artesanales se formalicen y sea más eficiente el control sobre las plantas concentradoras de mineral. Pág. 11",Normativa/Estructurada
Avanza País Partido de Integración Social,"Sostenibilidad, Energía y Ambiente",Energías Limpias y Tecnologías Ambientales (GreenTech),"Sobre energía se propone incrementar la potencia y capacidad instalada de la red eléctrica nacional con asociaciones público – privadas para el empleo de energía eólica y solar, facilitando las inversiones. Ello también se aplicará a las pequeñas plantas de energía hidroeléctrica en los Andes, y la implementación de una planta nuclear de 300 Mw de potencia para Iquitos, la que dará energía a toda la Amazonía, y en cuya implementación hay varios países interesados. Pág. 11-12",Programática
Avanza País Partido de Integración Social,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,"Al 2031 reduciremos la brecha de conectividad digital, para que el 75% de los hogares peruanos cuenten con acceso al internet (hoy es 58.9%). Pág. 13",Programática
Avanza País Partido de Integración Social,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,La meta al 2031 es incrementar como mínimo en un 20% la cobertura en todo el país facilitando la implementación de antenas y el uso de internet satelital. Pág. 14,Programática
Avanza País Partido de Integración Social,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Para una mejor gestión ambiental y reducción de la burocracia y tramitología excesiva, consideramos necesario revisar los procedimientos y contenidos de los instrumentos de gestión ambiental, sin rebajar los estándares mínmicos, para establecer plazos máximos de resolución de los estudios de Impacto Ambiental (EIA), y la implementación de un sistema digital de tramitación. Pág. 14",Instrumental
Avanza País Partido de Integración Social,"Gestión de Riesgos, Desastres y Resiliencia",Big Data y Analítica de Datos,"Sobre las amenazas provenientes de la Crisis Climática, y en alianza con los gobiernos locales y regionales, actualizaremos el mapeo de riesgos por cuenca y distrito y estableceremos la formulación de planes de adaptación locales que contengan los listados de infraestructuras necesarias y soluciones basadas en la naturaleza (restauración de humedales, reforestación en cuencas altoandinas), así como integrar el riesgo climático en las inversiones públicas y en las licitaciones con evaluación obligatoria, en convenio con las universidades. Pág. 14-15",Programática
Avanza País Partido de Integración Social,"Gestión de Riesgos, Desastres y Resiliencia",Big Data y Analítica de Datos,"También implementaremos la base de datos hidrológica en el nivel nacional para la toma de decisiones respecto al uso del recurso agua, y priorizaremos las ideas de proyectos de afianzamiento hídrico de gobiernos locales para su formulación por los Núcleos Regionales de Proyectos que se implementarán en cada Región. Pág. 15",Programática
Avanza País Partido de Integración Social,Gobernanza y Transformación Digital del Estado,Inteligencia Artificial,"En cuanto a la excesiva tramitología haremos una evaluación regulatoria para simplificar e integrar las normas administrativas y de gestión interna en las entidades públicas, para reducir ineficiencias y consolidar un sistema orientado a la atención del ciudadano y resolución de problemas de forma rápida y eficiente con auxilio de medios informáticos y la Inteligencia Artificial. Pág. 17",Instrumental
Avanza País Partido de Integración Social,Gobernanza y Transformación Digital del Estado,Big Data y Analítica de Datos,"Se fortalecerá su papel como órgano rector de la planificación nacional asegurando su autonomía funcional y financiera, desarrollando sus capacidades en análisis de datos, planeamiento, prospectiva y evaluación. Pág. 17",Instrumental
Avanza País Partido de Integración Social,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Para compensar la falta de capacidades formuladoras de proyectos en el interior del país y evitar sobrecostos en obras u otros problemas, implementaremos los **Núcleos Regionales de Formulación de Proyectos en cada región, como unidades formuladoras especializadas para todo un ámbito regional, con autonomía funcional y financiados por el MEF, que cuenten con especialistas de experiencia comprobada, y con el apoyo de la Academia y los Actores Privados. Los Núcleos formularán los proyectos y expedientes técnicos y los gobiernos Regionales los ejecutarán. Pág. 17-18",Programática
Avanza País Partido de Integración Social,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Crearemos una Plataforma Nacional de Interoperabilidad Judicial que conecte PJ, MP, RENIEC, SUNARP, SUNAT, PNP y procuradurías; así como un registro público y auditable de todas las decisiones administrativas relevantes, como los nombramientos provisionales, traslados y comisiones. Pág. 19",Programática
Avanza País Partido de Integración Social,Gobernanza y Transformación Digital del Estado,Big Data y Analítica de Datos,Se realizarán evaluaciones forenses electrónicas periódicas para detectar patrones atípicos en resoluciones y tiempos de resolución; y en los casos pertinentes derivados a la oficina de control disciplinario. Pág. 19,Instrumental
Avanza País Partido de Integración Social,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Implementaremos el Concurso Nacional Judicial, transparente y continuo para jueces y fiscales con pruebas escritas, orales, evaluación de CV y jurados independientes, en un sistema nacional de evaluación continua, con métricas de productividad, ética y capacitación obligatoria, para la formación y actualización de los fiscales y magistrados en escuelas de formación judicial y fiscal para capacitación en gestión y uso de tecnologías con apoyo de la Academia. Pág. 19",Programática
Avanza País Partido de Integración Social,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Además, realizaremos la expansión priorizada del Expediente Judicial Electrónico (EJE) y la Mesa de Partes Electrónica (MPE) para toda la materia no penal, y luego penal compleja, con interoperabilidad con registros públicos y un programa piloto de aplicación de la analítica procesal e Inteligencia Artificial supervisada, para clasificar causas y detectar cuellos de botella, con el fin de reducir la carga manual y reasignar personal. Pág. 19",Programática
Avanza País Partido de Integración Social,Gobernanza y Transformación Digital del Estado,Inteligencia Artificial,"Además, realizaremos la expansión priorizada del Expediente Judicial Electrónico (EJE) y la Mesa de Partes Electrónica (MPE) para toda la materia no penal, y luego penal compleja, con interoperabilidad con registros públicos y un programa piloto de aplicación de la analítica procesal e Inteligencia Artificial supervisada, para clasificar causas y detectar cuellos de botella, con el fin de reducir la carga manual y reasignar personal. Pág. 19",Programática
Avanza País Partido de Integración Social,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"En esta misma línea, fortaleceremos la Unidad de Inteligencia Financiera (UIF) con equipamiento informático de primer nivel para la trazabilidad del dinero que sea interoperable con el Ministerio Público SUNAT, PNP y el sistema financiero. Pág. 20",Instrumental
Avanza País Partido de Integración Social,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Para la reducción de la corrupción en los trámites, eliminaremos normas obsoletas, reduciremos trámites y uniformizaremos procedimientos con metas anuales, para reducir discrecionalidad y costos de cumplimiento. Desarrollaremos la digitalización integral de licencias urbanas, ambientales y registros con plazos máximos, y silencio administrativo positivo cuando proceda. Estableceremos un sistema de ventanilla única para permisos de obras civiles. Pág. 20",Programática
Avanza País Partido de Integración Social,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control","Desarrollaremos un plan de renovación y modernización del equipamiento militar, equilibrando la disuasión convencional con las capacidades para la guerra híbrida/anticrimen. Incluirán equipamiento de cazas para la Fuerza Aérea Peruana, patrulleras para la Marina de Guerra, vehículos blindados y artillería reactiva para el Ejército del Perú, y el desarrollo de capacidades en defensa cibernética, guerra electrónica, inteligencia y uso de vehículos aéreos no tripulados (Drones y otros UAV). Pág. 21",Programática
Avanza País Partido de Integración Social,"Seguridad Ciudadana, Defensa y Orden Interno","Hardware Avanzado, Robótica y Sensores (IoT)","Estableceremos el programa “Escudo de Frontera”, aplicado en el corto plazo al 100% de las bases mixtas FFAA – Policía – SUNAT – Migraciones, e iniciaremos los sistemas de vigilancia electrónica en las fronteras y el VRAEM con Vehículos Aéreos No Tripulados MALE, radares móviles y sensores de calor, con carácter permanente. Pág. 21",Programática
Avanza País Partido de Integración Social,Salud y Seguridad Alimentaria,Sistemas de Información y Software de Gestión,"d) Implementar de manera obligatoria la Historia Clínica Universal y Digital, con interoperabilidad para los prestadores públicos y privados de salud. Pág. 22",Programática
Avanza País Partido de Integración Social,Salud y Seguridad Alimentaria,Conectividad e Infraestructura Digital,c) Elevar de 2.800 a 4.000 los establecimientos de salud que cuentan con sistema de telemedicina. Pág. 24,Programática
Avanza País Partido de Integración Social,Salud y Seguridad Alimentaria,Conectividad e Infraestructura Digital,"d) Dotar, según la necesidad territorial y la demanda real, de equipos móviles rurales con “consultorios itinerantes” y telesalud. Pág. 24",Instrumental
Avanza País Partido de Integración Social,Salud y Seguridad Alimentaria,Conectividad e Infraestructura Digital,d) Ampliar las redes de Telemedicina y tele-tutoría en tanto que redes de soporte entre hospitales centrales y periféricos para consultas y formación continua. Pág. 25,Programática
Avanza País Partido de Integración Social,Salud y Seguridad Alimentaria,Sistemas de Información y Software de Gestión,"c) Implementar en los policímicos y centros de nivel II y III, previa evaluación técnica y social, los contratos de Asociación Público – Privada ""Modelo de Gestión Bata Blanca"", en los que la empresa privada se encarga de la administración de servicios médicos directos, como consultas y cirugías, y no solamente de servicios no asistenciales. Se evaluarán con metas claras y penalidades por incumplimientos. Pág. 26",Programática
Avanza País Partido de Integración Social,"Seguridad Ciudadana, Defensa y Orden Interno",Inteligencia Artificial,a) Aumento de la presencia policial en zonas de alta incidencia delictiva para disuadir los robos con el uso de mapas de calor y la Inteligencia Artificial. Pág. 28,Instrumental
Avanza País Partido de Integración Social,"Seguridad Ciudadana, Defensa y Orden Interno","Hardware Avanzado, Robótica y Sensores (IoT)",b) Mejorar e integrar el sistema de cámaras con Inteligencia Artificial para trazar el desplazamiento de sicarios y ejercer la interdicción correspondiente. Pág. 28,Instrumental
Avanza País Partido de Integración Social,"Seguridad Ciudadana, Defensa y Orden Interno",Inteligencia Artificial,b) Mejorar e integrar el sistema de cámaras con Inteligencia Artificial para trazar el desplazamiento de sicarios y ejercer la interdicción correspondiente. Pág. 28,Instrumental
Avanza País Partido de Integración Social,"Seguridad Ciudadana, Defensa y Orden Interno",Inteligencia Artificial,"a) Implementar el sistema de inteligencia informática “tela de araña” de última generación para seguimiento de comunicaciones, transferencias y receptación con Inteligencia Artificial, que permita seguir el rastro del dinero de las organizaciones delictivas. Pág. 29",Instrumental
Avanza País Partido de Integración Social,"Seguridad Ciudadana, Defensa y Orden Interno",Sistemas de Información y Software de Gestión,"b) Reducción de la discrecionalidad policial mediante tecnología, con el uso de cámaras corporales (bodycams) con grabación continua y encriptada. Asimismo, establecer sistemas GPS de rutas de patrullaje y la digitalización de papeletas, actas e intervenciones. Pág. 31",Instrumental
Avanza País Partido de Integración Social,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control","b) Reducción de la discrecionalidad policial mediante tecnología, con el uso de cámaras corporales (bodycams) con grabación continua y encriptada. Asimismo, establecer sistemas GPS de rutas de patrullaje y la digitalización de papeletas, actas e intervenciones. Pág. 31",Instrumental
Avanza País Partido de Integración Social,"Seguridad Ciudadana, Defensa y Orden Interno",Sistemas de Información y Software de Gestión,c) Plan de control de comunicaciones en los penales con bloqueo legal y tecnológico de teléfonos e internet con control judicial. Pág. 32,Instrumental
Avanza País Partido de Integración Social,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control",c) Plan de control de comunicaciones en los penales con bloqueo legal y tecnológico de teléfonos e internet con control judicial. Pág. 32,Instrumental
Avanza País Partido de Integración Social,"Educación, Ciencia y Tecnología (CTI)",Big Data y Analítica de Datos,"c) Implementación de un Sistema de Alertas Tempranas Escolar-Familiar (ATE-Familias), con algoritmos que identifiquen el riesgo por insistencias, bajo rendimiento o señales de violencia. Pág. 33",Programática
Avanza País Partido de Integración Social,"Educación, Ciencia y Tecnología (CTI)",Inteligencia Artificial,"f) Establecimiento de un Programa de Talentos Locales con actividades extracurriculares asociativas para estudiantes, tales como “Club de música, canto y danza”, “Club de oratoria y debate”, “Club STEM” (ciencias) “Club de Innovación e Inteligencia Artificial”, “Club de Historia” y otros, de acuerdo al nivel educativo y las posibilidades de cada institución educativa. Pág. 33",Programática
Avanza País Partido de Integración Social,"Educación, Ciencia y Tecnología (CTI)",Conectividad e Infraestructura Digital,"a) Fomento del empleo de Tablets offline y radio/TV educativa con programación acorde a la realidad geográfica de cada Institución Educativa, para llegar a las zonas sin conectividad, mientras ésta se implementa. Pág. 37",Instrumental
Avanza País Partido de Integración Social,"Educación, Ciencia y Tecnología (CTI)",Conectividad e Infraestructura Digital,b) Dotar de Internet de alta velocidad para el desarrollo de competencias digitales en las instituciones educativas urbanas. Pág. 37,Instrumental
Avanza País Partido de Integración Social,"Educación, Ciencia y Tecnología (CTI)",Inteligencia Artificial,"c) Incorporación a la currícula del desarrollo progresivo de competencias en Inteligencia Artificial y la Programación en Módulos para el desempeño más allá del uso de software básico, acorde con los acelerados avances en el área. Pág. 37",Programática
Avanza País Partido de Integración Social,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,"f) Establecimiento de un programa nacional de formación acelerada y certificada, cofinanciado con el sector privado y universidades, enfocado en el almacenamiento en la nube, data científica, Inteligencia Artificial, ciberseguridad, y desarrollo de software (Dev), y en las operaciones de Tecnología de la Información (Ops). Pág. 38",Programática
Avanza País Partido de Integración Social,"Educación, Ciencia y Tecnología (CTI)",Inteligencia Artificial,"f) Establecimiento de un programa nacional de formación acelerada y certificada, cofinanciado con el sector privado y universidades, enfocado en el almacenamiento en la nube, data científica, Inteligencia Artificial, ciberseguridad, y desarrollo de software (Dev), y en las operaciones de Tecnología de la Información (Ops). Pág. 38",Programática
Avanza País Partido de Integración Social,"Educación, Ciencia y Tecnología (CTI)","Seguridad, Ciberdefensa y Tecnologías de Control","f) Establecimiento de un programa nacional de formación acelerada y certificada, cofinanciado con el sector privado y universidades, enfocado en el almacenamiento en la nube, data científica, Inteligencia Artificial, ciberseguridad, y desarrollo de software (Dev), y en las operaciones de Tecnología de la Información (Ops). Pág. 38",Programática
Avanza País Partido de Integración Social,"Educación, Ciencia y Tecnología (CTI)",Inteligencia Artificial,"g) Establecimiento del Programa Nacional de Talento en Inteligencia Artificial, adscrito al Programa “Beca Presidente de la República”. Pág. 38",Programática
Avanza País Partido de Integración Social,"Educación, Ciencia y Tecnología (CTI)",Inteligencia Artificial,"h) Creación de carreras y posgrados en Inteligencia Artificial subvencionados en universidades públicas, con actualización curricular permanente. Pág. 38",Programática
Avanza País Partido de Integración Social,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,"i) Creación de centros regionales de excelencia tecnológica desde alianzas universidad–empresa, para formación práctica e investigación y desarrollo local. Pág. 38",Programática
Avanza País Partido de Integración Social,"Desarrollo Social, Trabajo y Cultura",Big Data y Analítica de Datos,"b) Formulación del Padrón Único Digital integrado (Big Data Social) para evitar duplicación de subsidios, filtración de beneficiarios y clientelismo. Pág. 40",Programática
Avanza País Partido de Integración Social,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,l) Establecimiento de un sistema nacional de denuncias inmediatas contra maltrato o discriminación en servicios públicos. Pág. 40,Programática
Avanza País Partido de Integración Social,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,f) Establecimiento de sistemas seguros de denuncia digital anónima para adolescentes. Pág. 41,Programática
